,title,url,year,status
314,August Wilhelm Ifflands dramaturgisches und administratives Archiv,https://iffland.bbaw.de/index.xql,2017,200
315,Inquisitions post Mortem - Mapping the Medieval Countryside,http://www.inquisitionspostmortem.ac.uk/,2015,200
316,IAA - Inscriptiones Alborum Amicorum,http://iaa.bibl.u-szeged.hu/index.php?page=home,2003,200
317,Inscriptiones Graecae,http://telota.bbaw.de/ig/,2013,200
318,IOSPE - Ancient Inscriptions of the Northern Black Sea,http://iospe.kcl.ac.uk/index.html,2011,"HTTPSConnectionPool(host='iospe.kcl.ac.uk', port=443): Max retries exceeded with url: /index.html (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:997)')))"
319,IRT - The Inscriptions of Roman Tripolitania,https://irt2021.inslib.kcl.ac.uk/en/,2009,"HTTPSConnectionPool(host='irt2021.inslib.kcl.ac.uk', port=443): Max retries exceeded with url: /en/ (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:997)')))"
320,Libraria: Éditions d’inventaires anciens de bibliothèques médiévales,http://www.libraria.fr/editions-inventaires,2009,404
321,Von Island nach Jerusalem – Eine annotierte Webedition des Itinerars des Abtes Nikulás,http://www.nikulas.ds.uni-tuebingen.de/omeka/neatline/fullscreen/itinerar-nikulas,2015,200
322,The Papers of Andrew Jackson Digital Edition,https://rotunda.upress.virginia.edu/founders/JKSN.html,2015,200
323,Arxiu Virtual Jaume I - Documents d'època medieval relatius a la Corona d'Aragó,http://www.jaumeprimer.uji.es/,2006,200
324,The Selected Papers of John Jay Digital Edition,https://rotunda.upress.virginia.edu/founders/JNJY.html,2014,200
325,The Papers of Thomas Jefferson Digital Edition,https://rotunda.upress.virginia.edu/founders/TSJN.html,2008,200
326,Maria Jane Jewsbury: The Oceanides,https://romantic-circles.org/editions/oceanides/,2003,200
327,The Yale Digital Edition of the Works of Samuel Johnson,http://www.yalejohnson.com,2014,200
328,The Cambridge Edition of the Works of Ben Jonson,https://universitypublishingonline.org/cambridge/benjonson/,2012,200
329,"József Attila összes tanulmánya és cikke Szövegek, 1930–1937",http://textus.elte.hu/ja/index.html,2012,200
330,Journals of the Lewis and Clark Expedition,https://lewisandclarkjournals.unl.edu,2003,200
331,The James Joyce Digital Archive: Ulysses & Finnegans Wake,http://jjda.ie,2018,200
332,MS Junius 11 - Bodleian Digital Texts 1,http://www.evellum.com/index.php?page=shop.product_details&flypage=flypage_bodleian.tpl&product_id=6&category_id=2&option=com_virtuemart&Itemid=293,2004,406
333,"Engelbert Kaempfer: Amoenitatum Exoticarum Politico-Physico-Medicarum Fasciculi V. Lemgo 1712. Edition, Übersetzung und Kommentar.",http://diglib.hab.de/edoc/ed000081/startx.htm,2010,200
334,Franz Kafka: Der Process,http://www.textkritik.de/fka/dokumente/process.htm,1997,200
335,Kalevalan Aino,http://aino.finlit.fi/omeka,2017,200
336,Kroniek van Kampen,https://kroniekvankampen.huygens.knaw.nl,2017,403
337,Kritische Gesamtausgabe der Schriften und Briefe Andreas Bodensteins von Karlstadt,http://diglib.hab.de/edoc/ed000216/start.htm,2012,200
338,John Keats. A Rediscovered Letter by John Keats (1818),https://romantic-circles.org/editions/keats/index.html,1998,200
339,"Kekaumenos, *Consilia et Narrationes* (SAWS edition)",https://ancientwisdoms.ac.uk/library/kekaumenos-consilia-et-narrationes/index.html,2013,"HTTPSConnectionPool(host='ancientwisdoms.ac.uk', port=443): Max retries exceeded with url: /library/kekaumenos-consilia-et-narrationes/index.html (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:997)')))"
340,Gottfried Keller: Sämtliche Werke,http://www.gottfriedkeller.ch/hkka/projekt.php,1996,200
341,"Harry Graf Kessler, Das Tagebuch 1880-1937. Online-Ausgabe.",https://edview.dla-marbach.de,2004,200
342,Søren Kierkegaards Skrifter,http://sks.dk,2007,200
343,Briefe und Akten zur Kirchenpolitik Friedrichs des Weisen und Johanns des Beständigen 1513 bis 1532,http://bakfj.saw-leipzig.de,2018,200
344,The Athanasius Kircher [Correspondence] Project,https://web.stanford.edu/group/kircher/cgi-bin/site/?page_id=7,1998,200
345,Athanasius Kircher an Herzog August den Jüngeren. Lateinische Briefe der Jahre 1650-1666,http://diglib.hab.de/edoc/ed000005/start.htm,2003,200
346,Paul Klee – Bildnerische Form- und Gestaltungslehre,http://www.kleegestaltungslehre.zpk.org/ee/ZPK/Archiv/2011/01/25/00001/,2012,200
347,Wolfgang Koeppen: Jugend - Textgenetische Edition,http://www.koeppen-jugend.de/,2016,200
348,Kolb-Proust Archive for Research,http://www.library.uiuc.edu/kolbp/,1994,200
349,[Das Kundige Bok] Göttinger Statuten im 15. Jahrhundert,http://kundigebok.stadtarchiv.goettingen.de/kb2Web/html/,2010,404
350,Kurländische Güterurkunden,https://www.herder-institut.de/bestaende-digitale-angebote/datenbanken/kurlaendische-gueterurkunden.html,2003,404
351,La Harpe et la Russie (1783-1795),http://lumieres.unil.ch/projets/la-harpe,2019,200
352,SVEA-Pommern - Karten und Texte der Schwedischen Landesaufnahme von Pommern 1692-1709,http://www.svea-pommern.de/,2007,200
353,Kabinettsprotokolle der Landesregierung von Nordrhein-Westfalen,http://protokolle.archive.nrw.de/,2008,200
354,"Letitia Elizabeth Landon's ""Verses"" and The Keepsake for 1829",https://romantic-circles.org/editions/lel/index.html,1998,200
355,John Langhorne: Solyman and Almena - An Oriental Tale,http://web.archive.org/web/20080616091917/http://www.historiker.de/projekte/orient/,2000,200
356,The Model Edition Partnership: Papers of Henry Laurens,https://web.archive.org/web/20090421081017/http://adh.sc.edu/hl/hl-table.html,2000,200
357,Early English Laws,https://earlyenglishlaws.ac.uk/,2009,"HTTPSConnectionPool(host='earlyenglishlaws.ac.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:997)')))"
358,Mini Lazarillo. Edición mínima del Lazarillo de Tormes,http://minilazarillo.github.io,2016,200
359,Lazarraga Eskuizkribua: edizioa eta azterketa / The Lazarraga Manuscript: Edition and study,http://www.ehu.eus/monumenta/lazarraga/,2010,"HTTPSConnectionPool(host='www.ehu.eus', port=443): Max retries exceeded with url: /monumenta/lazarraga/ (Caused by SSLError(SSLError(1, '[SSL: UNSAFE_LEGACY_RENEGOTIATION_DISABLED] unsafe legacy renegotiation disabled (_ssl.c:997)')))"
360,"Lebenswelten, Erfahrungsräume und politische Horizonte der ostpreußischen Adelsfamilie Lehndorff vom 18. bis in das 20. Jahrhundert",https://lebenswelten-lehndorff.bbaw.de/index.xql,2019,200
361,Gottfried Wilhelm Leibniz: Naturwissenschaftlich- medizinisch-technische Schriften – Reihe VIII der Akademieausgabe,http://leibnizviii.bbaw.de,2007,200
362,Briefportal Leibniz. Ausgewählte Briefe in HTML,https://leibniz-briefportal.adw-goe.de/start,2016,404
363,Lessings Übersetzungen,http://diglib.hab.de/edoc/ed000146/start.htm,2011,200
364,Letters of 1916,http://letters1916.maynoothuniversity.ie/,2013,200
365,Letters of Clemency from the Chancery of Brittany,http://web.archive.org/web/20080221092434/http://palissy.humana.univ-nantes.fr/cete/txt/Remission/index.en.html,1998,200
366,Liber...censualium (1187) (BayHStA HL Freising 6),http://www.bayerische-landesbibliothek-online.de/liber-censualium-edition-evangelientext,2011,200
367,The Liber Genealogus G,http://www.piggin.net/stemmahist/libertext.htm,2009,200
368,Liber Glossarum,http://liber-glossarum.huma-num.fr/,2016,200
